1.6332,1.3861,1.6226,1.7954,1.6875,1.6715,1.4701,1.5915,1.8208,1.5915,1.5734,1.501,1.6839,1.5701,1.082,1.2086,1.2564,1.0807,1.5709,2.1674,1.9524,1.8135,2.0817,1.9073,2.0981,2.0817,2.3364,2.2261,2.5755,2.3364,1.8661,2.0985,2.1157,1.9724,1.9724,1.4052,1.283,1.1615,1.2215,1.2215,1.3192,1.5704,1.5285,1.3192,1.8014,1.8082,2.041,1.5936,1.3682,1.8302,1.7919,1.7919,1.8302,2.0062,1.5847,1.9172,1.5847,2.2172,2.1202,1.8802
1.6592,1.4041,1.6422,1.815,1.7181,1.6942,1.4795,1.6131,1.8451,1.6131,1.6069,1.5273,1.718,1.5983,1.0865,1.219,1.2719,1.0898,1.5895,2.1911,1.9717,1.8337,2.1184,1.9256,2.1329,2.1184,2.3806,2.2559,2.6105,2.3806,1.9042,2.1381,2.1418,2.0023,2.0023,1.4187,1.3033,1.1786,1.2333,1.2333,1.3324,1.5918,1.5509,1.3324,1.828,1.83,2.0895,1.61,1.3924,1.8652,1.8066,1.8066,1.8652,2.0307,1.6056,1.9462,1.6056,2.2491,2.1475,1.9058
1.6867,1.4234,1.6631,1.8361,1.7491,1.718,1.4907,1.6355,1.8711,1.6355,1.641,1.5546,1.7541,1.6292,1.0926,1.2312,1.2884,1.1007,1.6099,2.2158,1.9928,1.8556,2.1567,1.9473,2.1698,2.1567,2.4258,2.2874,2.6474,2.4258,1.9429,2.1796,2.1691,2.0334,2.0334,1.4341,1.3244,1.1967,1.2468,1.2468,1.3476,1.6138,1.5754,1.3476,1.855,1.8525,2.1392,1.6283,1.4175,1.9015,1.8241,1.8241,1.9015,2.0575,1.628,1.9773,1.628,2.2822,2.1773,1.9352
1.7157,1.4438,1.6853,1.8585,1.7806,1.743,1.5036,1.6587,1.899,1.6587,1.6756,1.5829,1.7922,1.6625,1.1002,1.2451,1.306,1.1137,1.6322,2.2414,2.0156,1.8791,2.1968,1.9723,2.2088,2.1968,2.4721,2.3205,2.6862,2.4721,1.9823,2.2231,2.1977,2.0656,2.0656,1.4511,1.3461,1.2158,1.2619,1.2619,1.3647,1.6365,1.602,1.3647,1.8823,1.8759,2.19,1.6485,1.4435,1.9392,1.8443,1.8443,1.9392,2.0865,1.6521,2.0104,1.6521,2.3165,2.2094,1.9683
1.7463,1.4655,1.7089,1.8824,1.8126,1.7691,1.5182,1.6828,1.9285,1.6828,1.7109,1.6121,1.8324,1.6985,1.1095,1.2608,1.3247,1.1285,1.6562,2.2679,2.0402,1.9043,2.2387,2.0007,2.2498,2.2387,2.5194,2.3554,2.7269,2.5194,2.0224,2.2685,2.2273,2.0989,2.0989,1.47,1.3685,1.236,1.2786,1.2786,1.3838,1.6598,1.6306,1.3838,1.91,1.9001,2.2418,1.6705,1.4705,1.9781,1.8671,1.8671,1.9781,2.1176,1.6777,2.0456,1.6777,2.352,2.2439,2.0051
1.7783,1.4885,1.7337,1.9077,1.8451,1.7963,1.5344,1.7078,1.9598,1.7078,1.7468,1.6423,1.8747,1.737,1.1203,1.2783,1.3445,1.1453,1.6821,2.2953,2.0666,1.9312,2.2824,2.0324,2.2929,2.2824,2.5677,2.3919,2.7696,2.5677,2.0632,2.3159,2.2582,2.1334,2.1334,1.4905,1.3916,1.2572,1.2969,1.2969,1.4049,1.6837,1.6612,1.4049,1.938,1.9251,2.2949,1.6943,1.4983,2.0183,1.8927,1.8927,2.0183,2.1509,1.7048,2.0828,1.7048,2.3887,2.2808,2.0456
1.8118,1.5126,1.7599,1.9345,1.8781,1.8247,1.5524,1.7336,1.9929,1.7336,1.7833,1.6735,1.919,1.7781,1.1326,1.2976,1.3654,1.164,1.7097,2.3236,2.0948,1.9597,2.3278,2.0675,2.3381,2.3278,2.6171,2.4302,2.8141,2.6171,2.1046,2.3652,2.2903,2.1691,2.1691,1.5129,1.4153,1.2794,1.3168,1.3168,1.4279,1.7082,1.694,1.4279,1.9663,1.9509,2.349,1.72,1.5271,2.0598,1.9209,1.9209,2.0598,2.1865,1.7336,2.1221,1.7336,2.4265,2.3201,2.0899
1.8467,1.5379,1.7874,1.9627,1.9115,1.8543,1.5721,1.7602,2.0277,1.7602,1.8203,1.7056,1.9654,1.8217,1.1466,1.3187,1.3873,1.1846,1.7392,2.3528,2.1248,1.9898,2.3749,2.106,2.3853,2.3749,2.6676,2.4701,2.8605,2.6676,2.1468,2.4165,2.3236,2.2059,2.2059,1.537,1.4397,1.3027,1.3383,1.3383,1.4529,1.7334,1.7288,1.4529,1.995,1.9775,2.4042,1.7475,1.5568,2.1026,1.9518,1.9518,2.1026,2.2242,1.7639,2.1635,1.7639,2.4656,2.3617,2.1379
1.8866,1.5689,1.8196,1.9957,1.9476,1.886,1.5971,1.7925,2.0724,1.7925,1.8637,1.7423,2.019,1.8724,1.1622,1.3439,1.413,1.2112,1.7696,2.3854,2.1592,2.0244,2.4257,2.1527,2.4379,2.4257,2.723,2.5124,2.9116,2.723,2.1944,2.4753,2.3567,2.2479,2.2479,1.5651,1.4664,1.33,1.364,1.364,1.4803,1.7618,1.766,1.4803,2.0199,2.0089,2.4605,1.7777,1.5895,2.151,1.9874,1.9874,2.151,2.2706,1.7961,2.211,1.7961,2.5077,2.4107,2.1956
1.9296,1.5973,1.8523,2.0274,1.9804,1.9197,1.6182,1.8253,2.1135,1.8253,1.9,1.7787,2.0726,1.9252,1.1801,1.3695,1.4416,1.2367,1.8034,2.4151,2.1935,2.0602,2.4804,2.2041,2.4923,2.4804,2.7768,2.5557,2.9648,2.7768,2.2401,2.5355,2.3918,2.2896,2.2896,1.5949,1.4938,1.3577,1.389,1.389,1.5108,1.7904,1.8075,1.5108,2.0529,2.0394,2.5211,1.8101,1.6244,2.1967,2.0247,2.0247,2.1967,2.319,1.8327,2.2593,1.8327,2.5517,2.4584,2.2575
